cam_name,condition,n,prevalence,se,lower_ci,higher_ci
yoga,US children,421,0.042236,0.0027,0.03687251,0.04760037
yoga,ASD,9,0.058678,0.0236,0.01235377,0.1050018
yoga,ID,2,0.027028,0.0216,0,0.06941149
yoga,DD,26,0.056082,0.0146,0.02753291,0.08463019
yoga,"ASD, ID, or DD",29,0.051239,0.0124,0.02685966,0.07561819
meditation,US children,137,0.013848,0.0016,0.01073788,0.01695788
meditation,ASD,6,0.035857,0.0187,0,0.0724735
meditation,ID,2,0.0056849,0.0049,0,0.01528685
meditation,DD,15,0.03463,0.0111,0.01296634,0.05629273
meditation,"ASD, ID, or DD",17,0.029752,0.0093,0.01143434,0.04806869
massage,US children,162,0.014705,0.0015,0.01179303,0.01761658
massage,ASD,5,0.025632,0.0128,0.000624051,0.05064085
massage,ID,4,0.024871,0.014,0,0.05222899
massage,DD,10,0.015746,0.006,0.003966088,0.02752584
massage,"ASD, ID, or DD",13,0.015013,0.0052,0.004732844,0.02529385
chiropractic,US children,503,0.054911,0.0033,0.04834883,0.06147283
chiropractic,ASD,5,0.027952,0.0141,0.00032782,0.05557718
chiropractic,ID,7,0.06084,0.0269,0.008043343,0.1136376
chiropractic,DD,26,0.05138,0.0125,0.02684119,0.07591887
chiropractic,"ASD, ID, or DD",32,0.056238,0.012,0.03267136,0.07980485
any therapy,US children,917,0.074618,0.0032,0.06832466,0.08091074
any therapy,ASD,22,0.14075,0.0407,0.06101478,0.2204792
any therapy,ID,9,0.079484,0.0296,0.02145923,0.1375082
any therapy,DD,69,0.128,0.018,0.09270014,0.1632971
any therapy,"ASD, ID, or DD",80,0.12335,0.016,0.0920752,0.1546265
yoga,"no ASD, ID, or DD",392,0.04175,,0.03622134,0.04727936
meditation,"no ASD, ID, or DD",120,0.012889,,0.009884968,0.01589397
massage,"no ASD, ID, or DD",149,0.014708,,0.01171732,0.01769958
chiropractic,"no ASD, ID, or DD",470,0.054825,,0.04782245,0.06182779
any therapy,"no ASD, ID, or DD",836,0.071865,,0.06551118,0.07821878